,0,1
0,"[[[223 213 203]
  [223 213 202]
  [223 213 202]
  ...
  [158 187 181]
  [141 170 169]
  [132 159 131]]

 [[223 214 204]
  [223 214 204]
  [223 213 203]
  ...
  [154 185 181]
  [142 169 169]
  [130 154 125]]

 [[224 216 206]
  [224 215 206]
  [224 215 205]
  ...
  [149 179 178]
  [145 173 168]
  [126 149 118]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 82  94  97]
  ...
  [ 88  89  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
1,"[[[ 39  48  47]
  [ 36  40  35]
  [ 38  35  28]
  ...
  [217 219 219]
  [217 219 219]
  [217 219 219]]

 [[ 32  31  37]
  [ 35  33  27]
  [ 31  25  23]
  ...
  [216 219 219]
  [216 219 219]
  [216 219 219]]

 [[ 31  32  32]
  [ 37  37  27]
  [ 32  28  24]
  ...
  [217 219 219]
  [217 219 219]
  [217 219 219]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 72 110 120]
  ...
  [ 86  87  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
2,"[[[221 211 202]
  [221 211 202]
  [221 211 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 [[221 212 202]
  [221 212 202]
  [221 211 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 [[221 212 202]
  [221 212 202]
  [221 212 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 75 115 127]
  ...
  [ 89  90  90]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
3,"[[[221 217 213]
  [221 217 212]
  [221 217 212]
  ...
  [ 30  23  24]
  [ 30  27  21]
  [ 29  23  21]]

 [[221 218 214]
  [221 218 214]
  [221 218 213]
  ...
  [ 92  86  22]
  [120 117  27]
  [ 31  31  22]]

 [[222 220 217]
  [222 220 217]
  [222 220 216]
  ...
  [140 139  32]
  [ 35  38  37]
  [ 31  27  29]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 91 100 106]
  ...
  [ 99  98  96]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
4,"[[[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [213 201 187]
  [213 201 187]
  [213 201 187]]

 [[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [213 202 189]
  [215 204 190]
  [215 205 193]]

 [[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [216 207 197]
  [216 207 196]
  [216 207 197]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 94 106 111]
  ...
  [ 91  92  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
5,"[[[214 207 199]
  [214 207 199]
  [214 207 199]
  ...
  [213 201 188]
  [213 201 188]
  [213 201 188]]

 [[214 206 198]
  [214 206 199]
  [214 206 199]
  ...
  [213 201 188]
  [213 201 188]
  [213 201 188]]

 [[214 207 199]
  [214 207 199]
  [214 206 198]
  ...
  [213 202 189]
  [213 202 188]
  [213 202 188]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [100 112 117]
  ...
  [ 91  92  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
6,"[[[217 229 239]
  [217 229 239]
  [216 229 239]
  ...
  [218 220 222]
  [218 220 222]
  [219 220 222]]

 [[217 229 239]
  [217 229 239]
  [217 229 239]
  ...
  [218 219 222]
  [218 219 222]
  [218 219 222]]

 [[217 229 239]
  [217 229 239]
  [217 229 239]
  ...
  [218 219 222]
  [218 219 222]
  [218 219 222]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 92 106 112]
  ...
  [ 86  87  86]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
7,"[[[218 210 202]
  [218 210 202]
  [218 210 202]
  ...
  [ 77 111 176]
  [ 65  69  86]
  [ 72  84 152]]

 [[218 210 202]
  [218 210 202]
  [218 210 202]
  ...
  [ 72  92  54]
  [ 47  42  87]
  [ 66  80 129]]

 [[218 210 202]
  [218 210 202]
  [218 210 202]
  ...
  [ 84 116 137]
  [ 82 113 107]
  [ 71  93  81]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 91 101 108]
  ...
  [ 88  90  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
8,"[[[212 205 197]
  [212 205 197]
  [212 205 198]
  ...
  [212 200 186]
  [212 200 186]
  [212 200 186]]

 [[212 204 196]
  [212 204 196]
  [212 204 196]
  ...
  [212 200 187]
  [211 200 187]
  [211 200 187]]

 [[212 204 196]
  [212 204 196]
  [212 204 196]
  ...
  [212 200 187]
  [211 200 187]
  [211 200 187]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 99 109 114]
  ...
  [ 91  92  91]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
9,"[[[220 209 196]
  [220 209 196]
  [220 209 196]
  ...
  [218 210 201]
  [218 210 201]
  [218 210 201]]

 [[220 209 197]
  [220 209 196]
  [220 209 196]
  ...
  [218 210 201]
  [218 210 201]
  [218 210 201]]

 [[220 210 198]
  [220 210 198]
  [220 210 197]
  ...
  [218 210 201]
  [218 210 201]
  [218 210 201]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 99 110 115]
  ...
  [ 89  92  91]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
